ObjectID,Site Name,EPA ID,Site ID,Region,Address,State,County,City,ZIP,Latitude,Longitude,Site NPL Status,Ready for Anticipated Use Status,Construction Complete,Site Name Alias,Snapshot,Site Background,In Opportunity Zone,Near Railroad,Near Highway,Near Electric Transmission Line,Population Density,Acres,Is the Site in Reuse?,Reuse Plan Name,Reuse Plan URL,Link to Site Snapshot,Most Recent Reuse-Related Document,Link to Document,x,y
11,ABC ONE HOUR CLEANERS,NCD024644494,0402718,4,2127 LE JEUNE BLVD.,NC,ONSLOW,JACKSONVILLE,28540,34.7414,-77.3666,Currently on the Final NPL,Does Not Meet the Measure,Yes,"ABC ONE HOUR CLEANERS, ABC ONE HOUR CLEANERS",,"The ABC One-Hour Cleaners Superfund Site (the Site) is located at 2127 Lejeune Boulevard in Jacksonville, Onslow County, North Carolina within the County’s commercial retail district. The one-acre Site is located approximately two miles southeast of Camp ",No,Yes - 1/2 mile,No,Yes - 1 mile,"Urban Area (50,000+ people)",19.685748453,No,,,,,,-8612410.5164,4128793.7327999994
12,ABERDEEN CONTAMINATED GROUND WATER,NCN000407447,0407447,4,"HWY 211, OLD PEE DEE RD, BLUES BRG RD",NC,MOORE,Aberdeen,28315,35.1224,-79.4025,Currently on the Final NPL,Does Not Meet the Measure,No,"ABERDEEN CONTAMINATED GROUND WATER, ABERDEEN CONTAMINATED GROUNDWATER, ABERDEEN GROUND WATER CONTAMINATION, ABERDEEN GROUNDWATER CONTAMINATION, POWDER METALS PRODUCTS",,"The 1.3-square-mile Aberdeen Contaminated Ground Water Superfund site includes an area of contaminated groundwater east of U.S. Highway 1 in Aberdeen, Moore County, North Carolina. From 1980 to 1995, Powder Metals Products made machine parts at its facili",No,Yes - 1/2 mile,Yes - 1 mile,No,"Urban Cluster (2,500-50,000 people)",112.31326363,No,,,,,,-8839045.8677,4180527.2809000015
13,ABERDEEN PESTICIDE DUMPS,NCD980843346,0403099,4,OFF HWY 5 W,NC,MOORE,ABERDEEN,28315,35.1384,-79.4472,Currently on the Final NPL,Meets the Measure,Yes,"ABERDEEN PESTICIDE DUMPS, ABERDEEN PESTICIDE DUMPS, ABERDEEN PESTICIDES TWIN SITES, FAIRWAY SIX, FARM CHEMICAL, MCIVER PESTICIDE SITE, ROUTE 211, RT.211-ABERDEEN PESTICIDES","The 33-acre Aberdeen Pesticide Dumps Superfund site is near Aberdeen in Moore County, North Carolina. From the mid-1930s through 1987, several companies made pesticides for agricultural use on-site. The area includes the former pesticide formulation plan","The 37-acre Aberdeen Pesticide Dumps Superfund site is located in Moore County, North Carolina. It includes five separate areas impacted by industrial formulation and blending of pesticides and related waste disposal practices - a pesticide formulation pl",No,Yes - 1/2 mile,No,Yes - 1/2 mile,"Rural (less than 2,500 people)",,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-north-carolina#aberdeen,,,-8844021.849,4182705.093199998
14,ABERDEEN PROVING GROUND (EDGEWOOD AREA),MD2210020036,0300421,3,OFF RTE 40,MD,HARFORD,EDGEWOOD,21010,39.395404,-76.30773,Currently on the Final NPL,Does Not Meet the Measure,No,"ABERDEEN PROVING GROUND (EDGEWOOD AREA), ABERDEEN PROVING GROUND (EDGEWOOD AREA), ABERDEEN PROVING GROUND (EDGEWOOD AREA), US COAST GUARD - UPPER CHESAPEAKE RANGE, US COAST GUARD-POOLE ISLAND RANGE, USA ABERDEEN PROVING GROUND, USA EDGEWOOD ARSENAL",,"The 13,000-acre Aberdeen Proving Ground (Edgewood Area Site) site is located in Edgewood, Maryland and includes Gunpowder Neck, Pooles Island, Carroll Island and Graces Quarters. Development and testing of chemical agent munitions took place at this feder",No,Yes - 1/2 mile,No,Yes - 1/2 mile,"Urban Area (50,000+ people)",11038.077891,Yes,,,,,,-8494537.6472,4778469.106299996
15,ABERDEEN PROVING GROUND (MICHAELSVILLE LANDFILL),MD3210021355,0300423,3,OFF RTE 40,MD,HARFORD,ABERDEEN,21005,39.4606,-76.1414,Currently on the Final NPL,Does Not Meet the Measure,Yes,"ABERDEEN PROVING GROUND (MICHAELSVILLE LANDFILL), ABERDEEN PROVING GROUND (MICHAESLVILLE L, ABERDEEN PROVING GROUND(MICHAELSVILLE LF, ABERDEEN PROVING GROUND(MICHAELSVILLE LF, US COAST GUARD - POOLE ISLAND RANGE, US COAST GUARD - UPPER CHESAPEAKE RANGE, USA EDGEWOOD ARSENAL, USA EDGEWOOD ARSENAL",,"Aberdeen Proving Ground (APG) Michaelsville Landfill Site is a 17,000 acre military testing site, established in 1918 and is located in Aberdeen, Maryland. It includes firing ranges, impact areas, vehicle test tracks, a fire training area, and laboratorie",Partially Within,Yes - 1/2 mile,No,Yes - 1/2 mile,"Urban Area (50,000+ people)",30911.396303,Yes,,,,,,-8476021.8763,4787864.973499998
16,ABEX CORP.,VAD980551683,0302667,3,RANDOLPH + GREEN ST,VA,PORTSMOUTH CITY,PORTSMOUTH,23704,36.8265,-76.3045,Currently on the Final NPL,Meets the Measure,Yes,"ABEX CORP, ABEX CORP, ABEX CORP., ABEX CORPORATION","The Abex Corp. Superfund site is in Portsmouth, Virginia. The Abex Corporation/Railroad Products Group (Abex) ran a brass and bronze foundry on-site from 1928 to 1978. It recycled used railroad journal bearings and recast the metal to make new bearings. ","The Abex Corporation Site is located in the eastern section of the City of Portsmouth, Virginia. The Abex Corporation/Railroad Products Group operated a brass and bronze foundry from 1928 to 1978. The former foundry area was comprised of five buildings an",Partially Within,Yes - 1/2 mile,Yes - 1/2 mile,Yes - 1 mile,"Urban Area (50,000+ people)",44.454654937,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-virginia#abex,Abex Corp. Return to Use Fact Sheet,https://semspub.epa.gov/src/document/03/900123,-8494178.0852,4414950.637999997
17,ACE SERVICES,KSD046746731,0700521,7,345 CONVESSE,KS,THOMAS,COLBY,67701,39.396267,-101.040361,Currently on the Final NPL,Meets the Measure,Yes,"ACE SERVICES, COLBY PWS WELL #8 (FINDS)",,"The 2.5-acre Ace Services Site is a former chrome plating facility in Colby, Kansas, where chrome plating was applied to farm implements. From 1969 to 1975, chrome plating wastewater generated during operations at the Ace Services facility was discharged ",No,Yes - 1/2 mile,No,Yes - 1/2 mile,"Urban Cluster (2,500-50,000 people)",2.3154365518,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-kansas#ace,,,-11247761.5361,4778593.4221
18,ACM SMELTER AND REFINERY,MTD093291599,0800402,8,"RIVER ROAD NORTH, 1 MILE E. OF 15TH ST",MT,CASCADE,BLACK EAGLE,59414,47.52861,-111.24648,Currently on the Final NPL,Does Not Meet the Measure,No,"ACM SMELTER AND REFINERY, ACM SMELTER AND REFINERY, AMC GREAT FALLS REFINERY, ANACONDA COPPER & ZINC REF, ANACONDA MINERALS CO, GREAT FALLS REF",,"The ACM Smelter and Refinery site is located adjacent to the unincorporated community of Black Eagle along the Missouri River in Cascade County, Montana. The city of Great Falls is located across the Missouri River from the site.
The Boston & Montana Cons",No,Yes - 1/2 mile,No,Yes - 1/2 mile,"Urban Area (50,000+ people)",2723.7743287,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-montana#acm,,,-12383901.5061,6028787.579700001
19,"ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT)",ILD053219259,0500357,5,EAST OF LINDENWOOD RD,IL,WINNEBAGO,MORRISTOWN,61109,42.1577,-89.0455,Currently on the Final NPL,Does Not Meet the Measure (Retracted),Yes,"ACME SOLVENT RECLAIMERS INC, ACME SOLVENT RECLAIMING INC, ACME SOLVENT RECLAIMING INC, ACME SOLVENT RECLAIMING INC, ACME SOLVENT RECLAIMING(MORRISTOWN PLANT, ACME SOLVENT RECLAIMING(MORRISTOWN PLANT), ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT), MORRISTOWN PLANT",,"The 20-acre Acme Solvent Reclaiming (Morristown Plant) site was used as a 
drum storage and disposal area for wastes. From 1960 to 1970, the site consisted 
of seven waste disposal lagoons and open storage of 10,000 to 15,000 drums. 
Testing of groundwate",No,No,Yes - 1 mile,Yes - 1/2 mile,"Rural (less than 2,500 people)",42.852554311,No,,,,,,-9912499.7174,5184631.489200003
20,ACME STEEL COKE PLANT,ILN000509241,0509241,5,11236 SOUTH TORRENCE AVE.,IL,COOK,CHICAGO,60617,41.688533,-87.561392,Currently on the Final NPL,,No,,,"The Acme Steel Coke Plant site was a formerly active coking facility located 14 miles south of downtown Chicago, in Cook County Illinois. The Plant, once known as “Chicago Coke Plant” was one of three facilities in the Chicago area owned and operated by I",,,,,,,No,,,,,,-9747289.5706,5114436.782700002
21,"ACTION ANODIZING, PLATING, & POLISHING CORP.",NYD072366453,0202634,2,33 DIXON AVE.,NY,SUFFOLK,COPIAGUE,11701,40.684439,-73.406111,Deleted from the Final NPL,Meets the Measure,Yes,"ACTION ANODIZING & PLATING, ACTION ANODIZING PLATING AND POLISHING, ACTION ANODIZING, PLATING, & POLISHING, ACTION ANODIZING, PLATING, & POLISHING CORP., ACTION ANODIZING, PLATING, AND POLISHING",,"The Action Anodizing, Plating, and Polishing Corp. (AAPP) site is located in Copiague, New York. Since 1968, AAPP has been the sole operator at the 1-acre site. AAPP’s operations primarily involved sulfuric acid anodizing of aluminum parts for the electro",No,Yes - 1/2 mile,Yes - 1/2 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",0,No,,,,,,-8171530.897600001,4965907.321500003
22,ADAK NAVAL AIR STATION,AK4170024323,1000128,10,ADAK IS,AK,,ADAK,99546,51.8775,-176.6525,Currently on the Final NPL,Does Not Meet the Measure,No,"ADAK NAVAL AIR STATION, ADAK NAVAL AIR STATION, ADAK NAVAL AIR STATION, ADAK NAVAL STATION, ADAK WHITE ALICE SITE, USAF - WHITE ALICE ANTENNA SITE - ADAK, USNAVY ADAK NAVAL AIR STATION, USNAVY ADAK NAVAL FACILITY, USNAVY ADAK NAVAL FACILITY, WHITE ALICE ANTENNA SITE - ADAK",,"The 76,000-acre Adak Naval Air Station (NAS) site is located on Adak Island, near the western end of the Aleutian Islands, Alaska. Between the early 1940s and 1997, NAS served as a key operations and supply location for United States military forces. Site",Completely Within,No,No,No,"Rural (less than 2,500 people)",81249.484272,Yes,,,,,,-19664866.3474,6778006.118000001
23,ADAM'S PLATING,MID006522791,0502388,5,521 NORTH ROSEMARY,MI,INGHAM,LANSING,48917,42.739439,-84.587781,Currently on the Final NPL,Does Not Meet the Measure,Yes,"ADAM'S PLATING, ADAMS PLATING, ADAMS PLATING, ADAMS PLATING",,"Before 1964, a dry cleaning business that stored dry cleaning fluid in a 500-gallon underground storage tank occupied the former Adams Plating building. The tank was removed in the 1950s, reportedly due to leaking.
Ownership changed in 1964 and electropla",No,Yes - 1/2 mile,Yes - 1 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",1.0733936316,No,,,,,,-9416268.7083,5272395.527099997
24,ADAMS COUNTY QUINCY LANDFILLS 2&3,ILD980607055,0500656,5,2 MILES NORTH OF BURTON TWP 1/2 MI WEST,IL,ADAMS,QUINCY,62301,39.929444,-91.268472,Currently on the Final NPL,Does Not Meet the Measure,Yes,"ADAMS COUNTY QUINCY LANDFILL SITE #2 & #3, ADAMS COUNTY QUINCY LANDFILL SITE 2 & 3, ADAMS COUNTY QUINCY LANDFILL SITE 2&3, ADAMS COUNTY QUINCY LANDFILLS 2&3, ADAMS COUNTY QUINCY LANDFILLS 2&3, ADAMS COUNTY QUINCY LDFL SITE #2 & #3, ADAMS COUNTY QUINCY LDFL SITE #2 & #3, ADAMS COUNTY QUINCY LDFL SITE #2 & #3, QUINCY MUNI LDFL 2, QUINCY MUNI LDFL 2 AND 3 OF, QUINCY MUNI LDFL 2 AND 3 OF",,"The 56-acre Adams County Quincy Landfills #2 and #3 site is located five miles east of Quincy in Adams County, Illinois. Private operators ran the landfill from 1967 to 1972, when the City of Quincy leased the landfill from the owner. The city operated th",No,No,No,Yes - 1/2 mile,"Rural (less than 2,500 people)",95.041752304,No,,,,,,-10159959.8285,4855694.564800002
25,ADMIRAL HOME APPLIANCES,SCD047563614,0404282,4,3330 CRANE WAY,SC,BARNWELL,WILLISTON,29853,33.393889,-81.397222,Not on the NPL,Does Not Meet the Measure,Yes,ADMIRAL HOME APPLIANCES,"The Admiral Home Appliances site is in Barnwell County, South Carolina.  From 1966 to 1989, the Admiral Home Appliances (AHA) facility made refrigerators and freezers on-site under a series of owners. The AHA facility also ran a forklift repair shop and ","The Admiral Home Appliances (AHA) Superfund Alternative Approach Site is located in Barnwell County, South Carolina, southeast of the Town of Williston on County Road 65, also known as Dixie Narco Boulevard.
Manufacturing operations at the Site began in 1",No,No,No,Yes - 1/2 mile,"Rural (less than 2,500 people)",30.347885116,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-south-carolina#admiral,,,-9061097.305,3947703.608599998
26,ADRIAN MUNICIPAL WELL FIELD,MND980904023,0503898,5,ADRIAN CITY LIMITS,MN,NOBLES,ADRIAN,56110,43.638219,-95.934,Deleted from the Final NPL,Does Not Meet the Measure,Yes,"ADRIAN MUNICIPAL WELL FIELD, ADRIAN MUNICIPAL WELL FIELD","The Adrian Municipal Well Field Superfund site includes two municipal wells in Adrian, Minnesota. The state of Minnesota closed the contaminated wells and dug two new wells outside the area of contamination in 1984 and 1985. EPA added the site to the Nat","The Adrian Municipal Well Field site is located in Adrian, Minnesota. EPA investigations identified nine separate leaking underground storage tanks as potential contamination sources. Following cleanup, EPA took the site off the Superfund program’s Nation",No,Yes - 1/2 mile,Yes - 1/2 mile,Yes - 1/2 mile,"Rural (less than 2,500 people)",89.643140166,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-minnesota#adrian,,,-10679324.0298,5409625.372400001
27,"ADVANCED MICRO DEVICES, INC.",CAD048634059,0901389,9,901 THOMPSON PL,CA,SANTA CLARA,SUNNYVALE,94086,37.3825,-122.0086,Currently on the Final NPL,Does Not Meet the Measure,Yes,"ADVANCED MICRO DEVICES, INC, ADVANCED MICRO DEVICES, INC (901 THOMPSO, ADVANCED MICRO DEVICES, INC., AMD - THOMPSON PLACE, AMD 901/902",,"The former Advanced Micro Devices, Inc. 901/902 Thompson Place Superfund Site (Site) covers 6 acres in Sunnyvale, California. AMD designed and fabricated semiconductor devices at two adjoined low-rise buildings at the Site between 1969 and 1992. Groundwat",No,Yes - 1 mile,Yes - 1 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",12.80901897,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-california#advancedmicro,,,-13581935.2244,4492557.310199998
28,"ADVANCED MICRO DEVICES, INC. (BUILDING 915)",CAT080034234,0902708,9,915 DEGUIGNE,CA,SANTA CLARA,SUNNYVALE,94086,37.3868,-122.0066,Currently on the Final NPL,Meets the Measure,Yes,"ADVANCED MICRO DEVICES #915, ADVANCED MICRO DEVICES DEGUINE, ADVANCED MICRO DEVICES, INC (915 DEGUIGN, ADVANCED MICRO DEVICES, INC. (BLDG. 915), ADVANCED MICRO DEVICES, INC. (BUILDING 915), AMD 915 DEGUINE",,"Advanced Micro Devices, Inc. makes semiconductor and microprocessor devices at this 5.5-acre site. Building 915 was built on former agricultural land in 1973. At that time, three underground acid neutralization tanks were installed north of the building. ",No,Yes - 1 mile,Yes - 1/2 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",26.89668144,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-california#building915,,,-13581712.5854,4493159.7359
29,AEROJET GENERAL CORP.,CAD980358832,0901718,9,HWY US 50 & AEROJET RD,CA,SACRAMENTO,RANCHO CORDOVA,95670,38.608331,-121.2,Currently on the Final NPL,Does Not Meet the Measure,No,"AEROJET GENERAL CORP, AEROJET GENERAL CORP (RANCHO CORDOVA), AEROJET GENERAL CORP.",,"The Aerojet General Corporation site covers 5,900 acres; its northeastern edge is about a half-mile from the American River. Aerojet and its subsidiaries have manufactured liquid and solid propellant rocket engines for military and commercial applications",Partially Within,Yes - 1/2 mile,Yes - 1/2 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",20971.624578,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-california#aerojet,Sites in Reuse: Aerojet General Corp. Superfund Site (2018),https://semspub.epa.gov/src/document/11/197132,-13491922.2841,4665722.6272
30,AGATE LAKE SCRAPYARD,MND980898068,0503896,5,WESTERN SHORE OF AGATE LAKE,MN,CASS,FAIRVIEW TOWNSHIP,56473,46.453561,-94.375831,Deleted from the Final NPL,Meets the Measure,Yes,"AGATE LAKE SCRAP YARD, AGATE LAKE SCRAP YARD, AGATE LAKE SCRAP YARD, AGATE LAKE SCRAPYARD",,"The 8-acre Agate Lake Scrap Yard site is located in Fairview Township in Cass County, Minnesota, on the southwest shore of Agate Lake. The Agate Lake Scrap Yard operated from 1952 to 1982 as scrap yard for scrap iron and metal, including many transformers",No,No,No,No,"Rural (less than 2,500 people)",11.669660354,No,,,,,,-10505869.4501,5853333.001100004
31,AGRICO CHEMICAL CO.,FLD980221857,0400818,4,118 E FAIRFIELD DR @ I-110,FL,ESCAMBIA,PENSACOLA,32505,30.4512,-87.2256,Currently on the Final NPL,Meets the Measure,Yes,"AGRICO CHEMICAL CO, AGRICO CHEMICAL CO., AGRICO CHEMICAL SITE","The 30-acre Agrico Chemical Co. Superfund site is in Pensacola, Florida. Agrichemical production operations took place on-site from 1891 to 1975. Facility operations contaminated groundwater and soil. EPA added the site to the National Priorities List (N","The 35-acre Agrico Chemical Company Superfund site is located in Pensacola, Florida on the northwest corner of Fairfield Drive and Interstate 110.  It includes an area where agrichemical production operations took place from 1889 to 1975. The Escambia Woo",No,Yes - 1/2 mile,Yes - 1/2 mile,Yes - 1/2 mile,"Urban Area (50,000+ people)",28.527592973,Yes,,,https://www.epa.gov/superfund-redevelopment/superfund-sites-reuse-florida#agrico,AGRICO CHEMICAL CO. 2017 Fact Sheet,https://semspub.epa.gov/src/document/11/197003,-9709909.3761,3561680.2458999977
